! or g or 3 or e verify . ! 3 e g <eos>	erm erm erm erm erm yes	1 3 5 6 7 12 13
not j and not s produce <eos>	erm erm w _	2 4 5 5 6
& and 5 and E and ~ produce <eos>	erm erm erm erm ~ E 5 &	1 3 5 6 7 7 7 7 8
not Y and T and m verify W B T 6 * , Y <eos>	erm erm erm erm no	2 4 5 6 13 14
e or C or y verify c x <eos>	erm erm erm erm no	1 3 4 5 7 8
not d and not m verify < L d m <eos>	erm erm erm no	2 4 5 9 10
V or A or k verify E c " 0 V R * g <eos>	erm erm erm erm yes	1 3 4 5 13 14
1 or ? or u verify ? 1 u S k <eos>	erm erm erm erm yes	1 3 4 5 10 11
' or V or l or J verify ( h S # <eos>	erm erm erm erm erm no	1 3 5 6 7 11 12
q and - and J produce <eos>	erm erm erm q - J	1 3 4 5 5 5 6
b and 1 and 3 produce <eos>	erm erm erm b 1 3	1 3 4 5 5 5 6
not T and not w verify d t 8 ) B b K <eos>	erm erm erm yes	2 4 5 12 13
I verify U , u 7 <eos>	erm erm no	0 1 5 6
9 or : or ( produce <eos>	erm erm erm (	1 3 4 5 6
Q and R and A verify R Q I ! V A $ _ p , <eos>	erm erm erm erm yes	1 3 4 5 15 16
x verify 6 Z L B W { I <eos>	erm erm no	0 1 8 9
Z or & verify ( 0 <eos>	erm erm erm no	1 2 3 5 6
not l and f and not y verify c l s p d ` l y <eos>	erm erm erm erm no	2 4 6 7 15 16
$ and V and 6 verify ^ G 6 $ V 3 <eos>	erm erm erm erm yes	1 3 4 5 11 12
not n and not v verify ? 1 + / ! S ; h n v <eos>	erm erm erm no	2 4 5 15 16
y and N and & verify V u T 7 Z I <eos>	erm erm erm erm no	1 3 4 5 11 12
not p and ~ verify ` ( c < p <eos>	erm erm erm no	2 3 4 9 10
not k and not ) verify > A + <eos>	erm erm erm yes	2 4 5 8 9
d and , and ^ produce <eos>	erm erm erm , ^ d	1 3 4 5 5 5 6
% or ? verify & ? ^ ; Y % " N <eos>	erm erm erm yes	1 2 3 11 12
t and not W and not ? and not l verify # ; R l W ? <eos>	erm erm erm erm erm no	1 4 7 9 10 16 17
