walk	I_WALK	0 1
jump	I_JUMP	0 1
look	I_LOOK	0 1
right turn	I_TURN_RIGHT	0 2
run	I_RUN	0 1
left turn	I_TURN_LEFT	0 2
after jump left turn	I_TURN_LEFT I_JUMP	2 1 4
after left turn walk	I_WALK I_TURN_LEFT	3 1 4
right walk	I_TURN_RIGHT I_WALK	0 1 2
after walk run	I_RUN I_WALK	2 1 3
twice left turn	I_TURN_LEFT I_TURN_LEFT	1 1 3
opposite left turn	I_TURN_LEFT I_TURN_LEFT	1 1 3
after walk left turn	I_TURN_LEFT I_WALK	2 1 4
and walk left turn	I_WALK I_TURN_LEFT	1 2 4
after look right turn	I_TURN_RIGHT I_LOOK	2 1 4
and left turn left turn	I_TURN_LEFT I_TURN_LEFT	1 3 5
and run walk	I_RUN I_WALK	1 2 3
right jump	I_TURN_RIGHT I_JUMP	0 1 2
after walk right turn	I_TURN_RIGHT I_WALK	2 1 4
and look jump	I_LOOK I_JUMP	1 2 3
and walk jump	I_WALK I_JUMP	1 2 3
after look left turn	I_TURN_LEFT I_LOOK	2 1 4
and left turn run	I_TURN_LEFT I_RUN	1 3 4
left walk	I_TURN_LEFT I_WALK	0 1 2
and jump walk	I_JUMP I_WALK	1 2 3
after jump walk	I_WALK I_JUMP	2 1 3
and run left turn	I_RUN I_TURN_LEFT	1 2 4
after walk jump	I_JUMP I_WALK	2 1 3
and left turn jump	I_TURN_LEFT I_JUMP	1 3 4
after run right turn	I_TURN_RIGHT I_RUN	2 1 4
and jump jump	I_JUMP I_JUMP	1 2 3
and walk run	I_WALK I_RUN	1 2 3
and run run	I_RUN I_RUN	1 2 3
after left turn run	I_RUN I_TURN_LEFT	3 1 4
after run walk	I_WALK I_RUN	2 1 3
after right turn run	I_RUN I_TURN_RIGHT	3 1 4
and look look	I_LOOK I_LOOK	1 2 3
and right turn run	I_TURN_RIGHT I_RUN	1 3 4
after left turn right turn	I_TURN_RIGHT I_TURN_LEFT	3 1 5
and run right turn	I_RUN I_TURN_RIGHT	1 2 4
left run	I_TURN_LEFT I_RUN	0 1 2
after jump right turn	I_TURN_RIGHT I_JUMP	2 1 4
after right turn left turn	I_TURN_LEFT I_TURN_RIGHT	3 1 5
twice jump	I_JUMP I_JUMP	1 1 2
and left turn right turn	I_TURN_LEFT I_TURN_RIGHT	1 3 5
and jump left turn	I_JUMP I_TURN_LEFT	1 2 4
and run jump	I_RUN I_JUMP	1 2 3
twice walk	I_WALK I_WALK	1 1 2
opposite right turn	I_TURN_RIGHT I_TURN_RIGHT	1 1 3
after run look	I_LOOK I_RUN	2 1 3
after look jump	I_JUMP I_LOOK	2 1 3
after right turn look	I_LOOK I_TURN_RIGHT	3 1 4
and right turn jump	I_TURN_RIGHT I_JUMP	1 3 4
after jump jump	I_JUMP I_JUMP	2 1 3
and jump right turn	I_JUMP I_TURN_RIGHT	1 2 4
and walk look	I_WALK I_LOOK	1 2 3
after walk look	I_LOOK I_WALK	2 1 3
and look left turn	I_LOOK I_TURN_LEFT	1 2 4
after look run	I_RUN I_LOOK	2 1 3
and right turn right turn	I_TURN_RIGHT I_TURN_RIGHT	1 3 5
after left turn jump	I_JUMP I_TURN_LEFT	3 1 4
and jump look	I_JUMP I_LOOK	1 2 3
after run jump	I_JUMP I_RUN	2 1 3
after look walk	I_WALK I_LOOK	2 1 3
left look	I_TURN_LEFT I_LOOK	0 1 2
twice right turn	I_TURN_RIGHT I_TURN_RIGHT	1 1 3
and jump run	I_JUMP I_RUN	1 2 3
and look walk	I_LOOK I_WALK	1 2 3
and right turn left turn	I_TURN_RIGHT I_TURN_LEFT	1 3 5
after run left turn	I_TURN_LEFT I_RUN	2 1 4
and walk right turn	I_WALK I_TURN_RIGHT	1 2 4
after left turn look	I_LOOK I_TURN_LEFT	3 1 4
and walk walk	I_WALK I_WALK	1 2 3
