verify \ or \ or <sep> \	no
produce * and 0 and H and E	0 * H E
verify B <sep> [ ` B 8 j W #	yes
produce - and $ and a	a $ -
verify C and @ and , and t <sep> C , : t @	yes
produce 9 or I or . or r	I . 9 r
verify not - and and a <sep> p 5 -	no
produce not T and @ and not e and not T and	3 @ > /
produce l or 0 or X or *	l 0 * X
produce n or o or a	n o a
verify not ' and and not ? and and + <sep> m A " ' ?	no
produce 7 and f and t	f 7 t
verify not m and and not N and and z <sep> J 7 z f Y C S F [	yes
produce Q and i and T and l	i T l Q
verify m or 3 <sep> M G j 3 m 8	yes
verify not L and and ^ and * <sep> U G L : 3 9 { L	no
produce P or o	P o
verify not C and and 4 and not Z and and not C and and <sep> ' 4 v r } A	yes
produce P and S and Y and ,	S P Y ,
produce not & and not d and not m	l 2 6
verify , and D and not - <sep> v { * -	no
verify ! <sep> !	yes
verify r <sep> ) 8 1 s r ^ J c	yes
produce L or 1	1 L
produce F and } and s and U	F } s U
verify . and X and 3 <sep> - < n 4	no
produce ] or g or P or P or	] P P g
verify s and t and S and w <sep> d 1	no
verify h and { and ~ <sep> . z F n 8	no
verify 9 and U <sep> K { z	no
produce G and H and ;	H G ;
verify not } and and \ and D <sep> j | ] }	no
produce m and N and d	N d m
produce h and ^	^ h
verify " or 9 <sep> @ <	no
verify M and ` <sep> 3 W ` M	yes
verify O or & or U or W <sep> N , w 7 _	no
verify 4 <sep> 4 # M	yes
verify ( or 5 <sep> _ 5 S v 6 N F V	yes
verify ! or p <sep> I p ' 5 !	yes
produce } and q	q }
produce 2 or : or 2 or	2
verify not / and and not j <sep> # o Y	yes
produce / and not f and not f and	/ M 5
verify 0 or Z or $ <sep> %	no
verify - <sep> -	yes
verify j and Q and not " <sep> Q v a j ) D , g	yes
produce ! and w	w !
produce not [ and , and not 8 and W	p , c W
verify not > and and I and not R and and not 2 <sep> , { Q t 5 a W R 2 >	no
verify f or K <sep> o K y "	no
produce not T and not T and not X	a v p
verify , <sep> n $ s 4 V	no
produce A or .	. A
produce ~ or $ or 1 or `	$ `
verify * <sep> * 9	yes
produce ' and : and u	: ' u
produce $ or ?	?
verify h or Y or E <sep> Q	no
verify W <sep> ] - (	no
produce not h and ? and not ] and not g	@ ? t V
produce 1 and v	1 v
produce B and "	B "
verify l and not v <sep> + l - ! t @	yes
verify e <sep> ~ N e	yes
verify not ? and and not \ <sep> i F [ b X p z . x \ ?	no
verify " and R <sep> ` > , " i R g _ k	yes
verify = or r or _ or Y <sep> _ A Y =	yes
produce Z or & or 0	0 Z
verify q and p and < and 3 <sep> O . u	no
verify H or H or <sep> H 4 u <	yes
verify : and ^ and R and M <sep> ? W U	no
verify not # and and not D and and not % <sep> X U R a i 1 b t # D %	no
produce q or ] or p or a	a
produce J or B or M or *	* B J
produce j and 6	j 6
verify not 5 and and not # <sep> : s : & # 5	no
produce l or @ or #	# l
produce f or W	f W
produce not O and not r and not O and not +	0 @ k ?
verify s or a or # or t <sep> t # a 2	yes
verify M and 2 and 9 <sep> m Y	no
produce not k and not & and z	w M z
verify y and b and ( <sep> z Q	no
verify v <sep> j I + 6	no
produce ^ and o and not s and )	^ o ' )
verify K or A <sep> K A	yes
verify ) and 5 and T <sep> m v e s	no
verify not m and and not 3 and and not R <sep> h } 5 w m R 3	no
produce not + and Z and { and \	/ Z { \
produce ~ and not S and not ]	~ : ^
verify V and not s and and = and not } <sep> 2 # M X ? r } s	no
produce ' and ! and m	m ' !
verify not l and and v and 8 <sep> % J M b l	no
produce not _ and not f and not Y	R 9 n
verify z and N and 3 <sep> N ] 3 z b	yes
produce @ or #	@
produce R and / and o and 7	R o / 7
verify u and 7 and " and 3 <sep> j	no
verify D and t and K and 5 <sep> + ] #	no
produce ^ or 7 or c	^ c
produce not n and not R and not - and not q	0 a p 0
verify not U and and not * <sep> D D 7 * U	no
produce J and r and i	J i r
produce q and not p	q (
verify { and ) and = and d <sep> D z F	no
produce - and }	} -
verify T or $ <sep> n % u g Q	no
produce not < and S and not q	C S #
verify S or @ or 5 <sep> ~ V	no
produce & and * and z and :	* : z &
produce W and , and 4 and 7	W 4 , 7
