& or x or 0 or c or M or A or 4 verify [ k o <eos>	erm erm erm erm erm erm erm erm no	1 3 5 7 9 11 12 13 16 17
a and : and % and 6 and r and 6 produce <eos>	erm erm erm erm erm erm 6 : r 6 a %	1 3 5 7 9 10 11 11 11 11 11 11 12
n or D or 6 or } or h verify F <eos>	erm erm erm erm erm erm no	1 3 5 7 8 9 10 11
{ or 0 or s or O or h or k produce <eos>	erm erm erm erm erm erm O 0 h	1 3 5 7 9 10 11 11 11 12
{ and 2 and s and u and " produce <eos>	erm erm erm erm erm 2 s u " {	1 3 5 7 8 9 9 9 9 9 10
9 and m and " and ~ and p and 3 and K produce <eos>	erm erm erm erm erm erm erm " m ~ K 9 p 3	1 3 5 7 9 11 12 13 13 13 13 13 13 13 14
h and A and p and R and o and O and Y verify T <eos>	erm erm erm erm erm erm erm erm no	1 3 5 7 9 11 12 13 14 15
not 0 and | and { and L and j and ) produce <eos>	erm erm erm erm erm erm O | { L j )	2 4 6 8 10 11 12 12 12 12 12 12 13
M and S and m and = and ; and h verify s S m 5 M = h ; <eos>	erm erm erm erm erm erm erm yes	1 3 5 7 9 10 11 19 20
C or + or _ or ` or . or = or ; verify < ( F _ . ` W d + ; <eos>	erm erm erm erm erm erm erm erm yes	1 3 5 7 9 11 12 13 23 24
# and Q and z and n and 9 and w and not | produce <eos>	erm erm erm erm erm erm erm # Q z n 9 w s	1 3 5 7 9 11 13 14 14 14 14 14 14 14 15
9 and b and X and k and @ and A verify w <eos>	erm erm erm erm erm erm erm no	1 3 5 7 9 10 11 12 13
f or g or q or = or j or S or s verify g g S j s = <eos>	erm erm erm erm erm erm erm erm yes	1 3 5 7 9 11 12 13 19 20
F or g or / or . or ^ produce <eos>	erm erm erm erm erm g . ^	1 3 5 7 8 9 9 9 10
not * and not G and not ~ and not " and not a verify u E + p g 9 Q i <eos>	erm erm erm erm erm erm yes	2 5 8 11 13 14 22 23
3 or / or Q or T or U or { or w produce <eos>	erm erm erm erm erm erm erm T { U / Q	1 3 5 7 9 11 12 13 13 13 13 13 14
Q or ? or y or h or ' or q or " produce <eos>	erm erm erm erm erm erm erm q " ' Q h ?	1 3 5 7 9 11 12 13 13 13 13 13 13 14
X and ) and h and + and K verify $ a : <eos>	erm erm erm erm erm erm no	1 3 5 7 8 9 12 13
0 and B and < and j and 6 and G and - verify G - 0 , < j 6 B <eos>	erm erm erm erm erm erm erm erm yes	1 3 5 7 9 11 12 13 21 22
not ] and ? and not " and not " and not k and not ~ and not R produce <eos>	erm erm erm erm erm erm erm X ? \ Z N A 5	2 4 7 10 13 16 18 19 19 19 19 19 19 19 20
< or o or 2 or r or 8 or 1 or F verify n <eos>	erm erm erm erm erm erm erm erm no	1 3 5 7 9 11 12 13 14 15
G or O or ' or M or ! verify + V t C 7 <eos>	erm erm erm erm erm erm no	1 3 5 7 8 9 14 15
( or _ or m or a or & or P verify a P 0 m ( <eos>	erm erm erm erm erm erm erm yes	1 3 5 7 9 10 11 16 17
not K and not C and not g and not t and not . produce <eos>	erm erm erm erm erm O U ; O /	2 5 8 11 13 14 14 14 14 14 15
w or . or I or j or P or g verify k p w r 5 <eos>	erm erm erm erm erm erm erm yes	1 3 5 7 9 10 11 16 17
D or # or L or n or R verify | \ . g <eos>	erm erm erm erm erm erm no	1 3 5 7 8 9 13 14
n or e or N or ] or ^ or " or h verify o <eos>	erm erm erm erm erm erm erm erm no	1 3 5 7 9 11 12 13 14 15
k verify y S Q ' g k <eos>	erm erm yes	0 1 7 8
not i and n and } and _ and b and } produce <eos>	erm erm erm erm erm erm M n } _ b }	2 4 6 8 10 11 12 12 12 12 12 12 13
t and q and 3 and K and ` and ~ and y produce <eos>	erm erm erm erm erm erm erm q K ~ 3 ` y t	1 3 5 7 9 11 12 13 13 13 13 13 13 13 14
U and ( and + and p and " and : and ! produce <eos>	erm erm erm erm erm erm erm " + p ( ! U :	1 3 5 7 9 11 12 13 13 13 13 13 13 13 14
$ and D and B and ` and " verify D Z X $ = B 3 ` D ? " <eos>	erm erm erm erm erm erm yes	1 3 5 7 8 9 20 21
i and ~ and : and ; and - verify ^ 8 + <eos>	erm erm erm erm erm erm no	1 3 5 7 8 9 12 13
not ] and not y and not l and not N and not 5 produce <eos>	erm erm erm erm erm $ F < 2 0	2 5 8 11 13 14 14 14 14 14 15
- and 4 and D and not N and 8 and not : produce <eos>	erm erm erm erm erm erm - 4 D \ 8 Y	1 3 5 8 10 12 13 13 13 13 13 13 14
Y or : or E or i or I or 4 or + produce <eos>	erm erm erm erm erm erm erm Y 4	1 3 5 7 9 11 12 13 13 14
not 3 and H and not \ and not { and T and not $ produce <eos>	erm erm erm erm erm erm V H s 4 T Y	2 4 7 10 12 14 15 15 15 15 15 15 16
not ) and not c and @ and not O and not / and not 1 verify @ # L ` Q _ R 8 ! <eos>	erm erm erm erm erm erm erm yes	2 5 7 10 13 15 16 25 26
L verify z S <eos>	erm erm no	0 1 3 4
not T and 2 and not $ and z and ' and not n and 7 verify z K ^ u ' 2 7 <eos>	erm erm erm erm erm erm erm erm yes	2 4 7 9 11 14 15 16 23 24
L and ' and ~ and 0 and p and 7 produce <eos>	erm erm erm erm erm erm 7 0 p ' ~ L	1 3 5 7 9 10 11 11 11 11 11 11 12
, and G and 9 and ~ and V verify X 5 9 , ~ y N V G <eos>	erm erm erm erm erm erm yes	1 3 5 7 8 9 18 19
l and , and X and A and c verify , 0 X w A ? l A c l H <eos>	erm erm erm erm erm erm yes	1 3 5 7 8 9 20 21
not ' and not l and not G and not T and not ) and not ] and not & verify g s 0 x X K a h d ' G & ) T l ] <eos>	erm erm erm erm erm erm erm erm no	2 5 8 11 14 17 19 20 36 37
p verify p m <eos>	erm erm yes	0 1 3 4
@ and 4 and f and E and ! and ( and not d produce <eos>	erm erm erm erm erm erm erm @ 4 f E ! ( 5	1 3 5 7 9 11 13 14 14 14 14 14 14 14 15
{ and q and N and j and T and } and - verify j q n } G T } - 3 + { N ] Q <eos>	erm erm erm erm erm erm erm erm yes	1 3 5 7 9 11 12 13 27 28
Q and Z and not ( and 4 and q and # and 7 produce <eos>	erm erm erm erm erm erm erm Q Z 3 4 q # 7	1 3 6 8 10 12 13 14 14 14 14 14 14 14 15
[ verify S V / T \ 5 [ X <eos>	erm erm yes	0 1 9 10
8 and . and X and } and not z and not Q produce <eos>	erm erm erm erm erm erm 8 . X } < Z	1 3 5 7 10 12 13 13 13 13 13 13 14
G and not F and not , and not 8 and % and not 2 verify B 6 ` ' } 8 , F 2 <eos>	erm erm erm erm erm erm erm no	1 4 7 10 12 14 15 24 25
2 and Y and Q and _ and W produce <eos>	erm erm erm erm erm Q 2 Y _ W	1 3 5 7 8 9 9 9 9 9 10
| and ! and Z and p and # and L verify Z | 1 ! L D # p <eos>	erm erm erm erm erm erm erm yes	1 3 5 7 9 10 11 19 20
not { and not ^ and not j and not J and not _ verify P ] d F $ k > <eos>	erm erm erm erm erm erm yes	2 5 8 11 13 14 21 22
not v and not j and < and not . and not 9 and M and $ produce <eos>	erm erm erm erm erm erm erm h k < ; B M $	2 5 7 10 13 15 16 17 17 17 17 17 17 17 18
$ or s or ; or : or } or " verify [ G ~ <eos>	erm erm erm erm erm erm erm no	1 3 5 7 9 10 11 14 15
b or l or _ or P or q or Q or & verify K 8 T <eos>	erm erm erm erm erm erm erm erm no	1 3 5 7 9 11 12 13 16 17
X and y and Z and i and ( produce <eos>	erm erm erm erm erm X i Z y (	1 3 5 7 8 9 9 9 9 9 10
- and u and 2 and p and ! and l and 0 produce <eos>	erm erm erm erm erm erm erm 2 u 0 p - l !	1 3 5 7 9 11 12 13 13 13 13 13 13 13 14
W verify Y Q P <eos>	erm erm no	0 1 4 5
. and I and i and ' and l produce <eos>	erm erm erm erm erm ' . l i I	1 3 5 7 8 9 9 9 9 9 10
Y or 8 or V or 0 or v or ' or ~ produce <eos>	erm erm erm erm erm erm erm 0 ' Y ~ 8	1 3 5 7 9 11 12 13 13 13 13 13 14
^ and n and > and not 5 and not w and not 2 and not k verify H S d Y C n A > ^ % 2 W <eos>	erm erm erm erm erm erm erm erm yes	1 3 5 8 11 14 16 17 29 30
X and i and ( and p and p and R and E produce <eos>	erm erm erm erm erm erm erm E ( R p X p i	1 3 5 7 9 11 12 13 13 13 13 13 13 13 14
; or ? or ' or k or : or i or q produce <eos>	erm erm erm erm erm erm erm : ? i ;	1 3 5 7 9 11 12 13 13 13 13 14
not l and not c and ' and not \ and ! and @ verify % { ; N m ) U ; u ! c \ l <eos>	erm erm erm erm erm erm erm no	2 5 7 10 12 13 14 27 28
r or @ or @ or t or | or . or Q produce <eos>	erm erm erm erm erm erm erm . Q | t @ r	1 3 5 7 9 11 12 13 13 13 13 13 13 14
I or n or t or p or \ verify 9 _ t n I g p <eos>	erm erm erm erm erm erm yes	1 3 5 7 8 9 16 17
A and U and _ and U and Y produce <eos>	erm erm erm erm erm A U Y _ U	1 3 5 7 8 9 9 9 9 9 10
t and not N and s and not D and not ( and k and not K produce <eos>	erm erm erm erm erm erm erm t f s f 0 k M	1 4 6 9 12 14 16 17 17 17 17 17 17 17 18
not T and s and N and u and not d and A and i produce <eos>	erm erm erm erm erm erm erm 6 s N u q A i	2 4 6 8 11 13 14 15 15 15 15 15 15 15 16
8 and L and L and { and } produce <eos>	erm erm erm erm erm { L } L 8	1 3 5 7 8 9 9 9 9 9 10
L and F and v and u and 4 produce <eos>	erm erm erm erm erm v F L 4 u	1 3 5 7 8 9 9 9 9 9 10
2 verify J $ W e g <eos>	erm erm no	0 1 6 7
k or + or ; or = or N or : or I verify . [ 9 <eos>	erm erm erm erm erm erm erm erm no	1 3 5 7 9 11 12 13 16 17
q and x and ' and % and n and y and L verify ~ ? 4 { <eos>	erm erm erm erm erm erm erm erm no	1 3 5 7 9 11 12 13 17 18
+ and < and Y and ] and ; and b produce <eos>	erm erm erm erm erm erm ; b ] Y + <	1 3 5 7 9 10 11 11 11 11 11 11 12
e or Z or $ or ! or Y verify E l s H <eos>	erm erm erm erm erm erm no	1 3 5 7 8 9 13 14
F and ^ and G and S and C and t produce <eos>	erm erm erm erm erm erm S t G C ^ F	1 3 5 7 9 10 11 11 11 11 11 11 12
# and v and a and " and = and H and s verify v = a " S j s v G H @ = ` # <eos>	erm erm erm erm erm erm erm erm yes	1 3 5 7 9 11 12 13 27 28
