verify " and I and u and 2 <sep> /	no
verify R <sep> { y 8 m ]	no
verify " or n or q <sep> A T q n " .	yes
produce ~ or o or a	~
produce ? and = and o	o = ?
verify 1 or | or y or [ <sep> E	no
produce Y and Y and v and not b	Y Y v N
produce L or = or Y	L
verify T or D <sep> e	no
verify not 8 and and not ; and and not l <sep> ) 0 ' < 6 [ V w ! .	yes
produce f or ~ or L	L
verify ( or $ or T <sep> _ f ; G	no
verify not ? and and - and @ <sep> 4 ?	no
produce not 7 and not R and _	z | _
verify @ or , or 0 or e <sep> '	no
verify 5 or w or # or ( <sep> ( I 5 # A C P w ?	yes
verify + or ' or C <sep> # h	no
verify L and 9 and : and ` <sep> : = D 9 L `	yes
verify not u and and J and not m <sep> 8 2 0 J O	yes
verify not x and and not - and and not % <sep> ? F i x - %	no
verify not 9 and and not ] and and l and not 2 <sep> > l v e	yes
produce u and : and |	: u |
produce 8 and not b and (	8 F (
verify $ <sep> $ 5 b : , d e l	yes
produce 5 or )	) 5
verify z or H <sep> A / B U ' @	no
produce m or \ or X	m X \
produce not / and not f	^ U
verify D or ) <sep> ` ( R * k Q #	no
verify - and $ <sep> u	no
verify b <sep> d $ p	no
verify n or / or l or u <sep> Y ; V / N n s 0 l 7	yes
produce not M and not ! and T and not .	C i T )
verify P and ^ and n and W <sep> W n P ^	yes
produce I or ' or V or M	' I M
verify N and not > and and not ] and and & <sep> p K 6 e i ] >	no
produce H and * and & and H and	* H & H
produce 2 or " or J or " or	J 2 "
produce u and N and \	N u \
verify 4 or 5 <sep> E V ? 6 r Q	no
produce W and -	- W
verify not 8 and and U and not 3 <sep> Q l ~ v R m K ; r 3 8	no
verify ` or * <sep> i p _ ' e ) H	no
verify not + and and not h <sep> E I + h	no
produce T and l and d and J	T d l J
produce k and C and # and i	C k i #
produce ^ and not n and not Y and not t	^ ) ' !
produce O or |	O |
verify * and Q and z <sep> * z ' , E Q 0 P !	yes
produce 6 and T	T 6
produce ? and ( and x	( ? x
verify not a and and [ and not S <sep> h u [ h 7	yes
verify ' and E and } <sep> e } E ' < t	yes
verify d and = and @ <sep> @ = d	yes
verify , or b or # <sep> @ b $ Q R X # ,	yes
produce ; and A	A ;
produce not F and not ` and f	U " f
produce [ and D	[ D
produce H or w or 2 or C	C w 2 H
produce E and . and . and	. E .
verify P or & or g <sep> D	no
verify Q <sep> s	no
produce W or U	U W
produce not Z and d and l and l and	3 d l l
verify } and a and C <sep> S I z h r	no
verify O or U or / or v <sep> ] 5 V	no
produce " or e or e or	e
produce Q or N	Q
produce % and Q and ! and +	! + Q %
produce 3 and , and 4 and t	, 3 t 4
produce < or c or ? or 3	3 ? c
verify ' <sep> < E z w	no
verify not R and and H and ; and ] <sep> } * E o Y B R	no
verify h <sep> | a 6 S	no
produce % or + or M	M % +
produce # and not i and not 6 and not e	# ' ; #
produce n and o and F	F n o
produce o or - or q or - or	-
verify P or j <sep> a k P	yes
produce U or ` or 1	` 1 U
produce h and <	< h
verify & and . and z and ^ <sep> z . B ^ & * 9	yes
verify not 8 and and not O and and not & <sep> l * A p u 3	yes
verify z and l <sep> * 3 O d ! q	no
verify ` <sep> s R Z x 3	no
produce V and M and { and A	M A V {
verify b or = <sep> @ 5 ! X , b = 7	yes
verify Z or x <sep> q	no
verify W and 9 <sep> u	no
verify i or U or R <sep> U K ~ ` R 9	yes
verify _ or 6 <sep> #	no
produce not j and z and ' and T	K z ' T
produce not \ and not u and y and not m	U S y >
produce Y or ? or n	?
verify & <sep> U B * "	no
verify ^ <sep> | ^	yes
produce l or w	w l
verify not 2 and and G <sep> G Z `	yes
verify X <sep> o X \ m u y j	yes
produce not ? and not g and not , and not F	g { 3 m
produce W and a	W a
produce @ and M	M @
verify < and > and B and 9 <sep> W 4	no
produce I and C and + and 6	C 6 I +
verify } and not e and and | and k <sep> k } C |	yes
produce & and not l	& {
verify not V and and not Y and and not ~ <sep> \ K 1 > L	yes
verify | <sep> z d | 8 I	yes
produce O or \	\ O
verify not | and and D and not r <sep> < g ~ B r |	no
produce not S and 8 and not s	a 8 a
verify < or 9 or z or Q <sep> Q a Q { f I z 9 = k	yes
produce q or - or h or 8	8 q
verify not ( and and 0 <sep> 0 . ; k	yes
verify 0 and } and $ <sep> } $ 0 Y & i Q A	yes
verify w and d and 6 <sep> I	no
produce o or $	o $
produce 9 and * and V	* V 9
produce 5 and not $	5 e
verify . <sep> 1 .	yes
verify k or s <sep> D y s g e	yes
produce not ? and < and 4 and p	Q < 4 p
produce > and f and not ]	> f y
verify g or P or n <sep> : 4 n p q N P	yes
produce p and not ) and not ) and not o	p ' E )
verify not F and and not R and and not 8 <sep> 8 u 3 F R 8	no
verify = <sep> G	no
verify P and ] and : and I <sep> l d 3 t z M	no
verify not H and and W <sep> * W m !	yes
produce C and not B	C ,
produce not @ and not m and not l	^ D y
produce not [ and not 1	8 A
verify = <sep> _ & F # ` = R	yes
verify x or | <sep> u	no
verify H and v and ] and X <sep> '	no
verify not 3 and and not X and and N <sep> N ] 6	yes
produce & or u or 0	u
produce W and p and ( and )	) W ( p
verify not < and and H and B and U <sep> ` ! n a $ J p B <	no
produce ! and Z and 6 and C	Z 6 ! C
verify z or g <sep> z f p / D #	yes
produce ? or K or - or v	- v K ?
verify 4 and A <sep> 4 A	yes
verify [ and k <sep> ! 7 k [	yes
verify U or o or 7 or * <sep> o J 7 * ; U	yes
verify | <sep> 2 h | < B | 4	yes
produce not o and not , and not R and }	? E F }
verify not & and and F <sep> T ) &	no
verify W <sep> m { < ^ C	no
produce ; or &	; &
produce L and R and ~ and f	~ f R L
produce x and K	K x
produce V or \	\ V
produce ( and S	( S
verify | <sep> & J |	yes
verify ' and - <sep> @ ; ' , 4 " - 5 d	yes
produce ` and S and 8	` 8 S
verify X or ] or " or I <sep> J ? N ' V	no
produce p and not _ and not 1 and not K	p N $ b
verify i and not z and and not ! and and not P <sep> p | W v n i o } / R L	yes
produce not U and not }	% '
produce not 1 and v and ,	} v ,
produce ^ and )	) ^
produce L and not ~	L R
produce , or W or P	, W
produce not . and not i and not d and not i and	o s l R
produce F and = and o and not 1	F = o Q
verify @ or x or ( or ~ <sep> [ @	yes
produce < and p	< p
verify 2 and z <sep> 2 z # R	yes
verify not ' and and not ) <sep> y a * 1	yes
verify $ or 4 or D <sep> D $	yes
verify not L and and not i and and not 2 and and not > <sep> G 5 z \ = I : C l	yes
produce j or J	J j
produce not ; and : and not V and e	~ : p e
verify 5 <sep> ; R 5 p K f m I	yes
produce x or a	x
verify } or Z or K <sep> h K D F v u $ }	yes
verify _ <sep> U	no
produce j or + or 9 or z	j + z
produce K and F	F K
verify j and c and ! <sep> F ] u k z	no
produce P and = and not L	P = |
verify a or 5 or $ <sep> 5 X & A _ ,	yes
produce f and _ and ` and x	x f ` _
verify not ; and and not R and and 7 and not q <sep> - 5 ! { + Q ; R q	no
produce o or 1 or n or o or	n 1 o
produce - or 3	-
verify q and m <sep> L	no
produce e and + and z and |	+ z | e
verify not x and and y and not D <sep> i y * O	yes
produce t and /	t /
verify } or C or s <sep> " C d	no
verify - <sep> ' d Z c - Q	yes
produce not 2 and not N	T d
produce not / and not ] and not v	( H Y
verify J and v and ; <sep> j	no
verify { and 4 and S <sep> % 4 S {	yes
verify w <sep> W + w @ ~ Z d <	yes
produce not y and not O	G 4
verify < and < and 3 <sep> p < 9 h < } K 3 =	yes
verify q and 8 and 9 and P <sep> e 8 q 9 . @ 6 P <	yes
produce G and . and N and j	. j N G
verify # or } or [ or _ <sep> [ @ X	yes
verify V and t and - <sep> k - S V } d > Y t	yes
produce F or = or ]	F =
verify I or 7 or o <sep> i o R A I L 7 : \	yes
verify b and ) and V <sep> c	no
verify 9 <sep> K z * D .	no
produce h and c	h c
produce D and not W and not }	D B b
verify w and f and K <sep> p ; ) r n J	no
produce > and not U and not S and not t	> / D 2
verify k and x and # and ' <sep> # d X k x '	yes
produce J and \ and l and k	k \ l J
produce b and = and g and b and	g = b b
verify . and ` and > and I <sep> > . I 9 o `	yes
verify W or B <sep> v ?	no
verify P and l and o <sep> l Y P o P	yes
verify # <sep> #	yes
produce _ and h	_ h
verify not & and and not X and and W and ^ <sep> ^ W q g m	yes
verify S <sep> X S Z | e s S	yes
produce not k and ' and \	C ' \
produce R or o or / or L	/
verify not t and and not ' and and not r and and x <sep> l x ) < 4 g m	yes
verify D or V <sep> F 5 c [ % :	no
